userName,score,at,content
Pengguna Google,1,2024-11-22 19:55:42,"Ayolah moonton tolong perbaiki sistem macthmakingnya, setiap main pasti sering kali ketemu sama tim yg gak seimbang contohnya temen satu tim semuanya bot sedangkan tim musuh semua jago semua tanpa ada kelemahan sedikitpun, ayo lah moonton perbaiki sistem sistem macthmakingnya gue dah capek lose trek sampai 20 kali ajg, dasar sistem sampah kalok gini terus semoga semua pelayernya pindah ke HOK, Sekian itu saja."
Rifa'i Ahmacd,1,2024-11-22 15:48:23,"Game ampas, perbaikin tuh matchmaking yang adil, sering banget di satuin ama tim romawi abadi, cman gw yang glory, msuh 3 mntan glory, apa itu adil? Developer denger gak sih, keluhan player"
Pengguna Google,1,2024-11-22 06:26:09,"Moonton²,kenapa makin aneh ni game,bukanya menghibur malah ngeselin.saya yang baru main malah di kasi lostrek.ada team ngetrol udah di riport malah tidak terdeteksi.udah kil banyak,mati dikit,asis banyak malah dapat coklat udah minta di perbaiki malah tambah sulit.dimana letak keseruannya moonton?"
Pengguna Google,5,2024-11-22 04:45:27,"geme keren nggak ngebosenin, cocok untuk yang kesepian. pemainnya juga asik bisa di ajak mabar keren lah pokok nya. ayo dwonload sekarang!!"
Pengguna Google,1,2024-11-22 03:03:53,Game nya sangat membosankan untuk dimainkan karena matchmaking nya ngak ngotak!!! Bikin player player yang bermain memutuskan untuk pensi mending main game lain aja lebih seru soalnya.
Pengguna Google,1,2024-11-21 15:05:25,"Gak mau sekalian hapus fitur chat? ngomong yang logis aja masih dikira kata kata yang disensor,susah komunikasinya tod,sistem juga gak jelas matchmaking adil?ha,kurasa tidak kawan,untuk kalian semua yang baru mau main ni game pikir pikir dulu dah,atau gsk pindah aja ssmua ke HOK biar moonton perbaiki sistemnya dulu baru balik ke gametod ini lagi"
Pengguna Google,1,2024-11-21 13:33:40,Diary moonton kpn di benerin untuk penguna smartphone Ram 2 Gb yg gk bs login stelah update udh hampir 1 bulan gak bs main mohon kerjasamanya terimakasih.
Pengguna Google,3,2024-11-21 12:51:50,"Gua mau konflen, gua main solo, trus Mabar sama temen, mau naik ke honor itu sangat sulit, kadang dpat tim bot, kdg ketemu lawan rasa pro player , bener² parah mobile legend kalo begini truss gak baik bertahan disini."
Pengguna Google,1,2024-11-21 10:32:44,"Setiap hari main pasti ketemu dark system, teman kek komputer, musuh kek immortal, dan mohon diperbaiki dark sistem nya. Aku sdh susah gendong tim, timnya kek taik, dah savage + legendary pun kalah. Dan teman aku yang beli diamond trs menang, tpi aku tdk beli diamond kalah trs, aku butuh penjelasan moonton"
Iksan,1,2024-11-21 10:22:33,Game goblok masa ngebug terus keluar terus dari game ny perbaiki itu dan sinyal ny
Pengguna Google,1,2024-11-21 07:07:36,Ehh moonton lu bisa ga klo milihin tim yang becus dikit napa cape gua MVP di tim yg kalah emng nya maen ga pake kuota?? benerin lagi jing sistem tim nya ketemu bot mulu cape gua stuck mulu
Miati Kaligondang,5,2024-11-20 23:18:38,Monton maaf atas chat gue yang agak kasar tapi gue sebenar nya suka Ama game Lo mlahan lebih bagus dari ff tadi gue depresi hampir gak mau makan gkamau ngapa ngapain kecuali main ml gara gara gue klah Mulu di ml gue depresi klahhh terus gak asik tau monton rasanya jadi. Kami dapet draksiste Mulu timbot aku ingin miytik tapi gak sam pean gue kumpulin uang demi beli strlagh gue juga gak jajan kalo sekolah demi buat strarlagh tapi gak dapet😭😭😭😭😭
Pengguna Google,1,2024-11-20 22:47:37,"tim ga sesuai, contohnya dikasi yang lebih ke gabisa main trus, abis yu musuh nya sllu yg pro"
Pengguna Google,1,2024-11-20 17:20:09,"Game taik tombol susah di tekan, dellay lama, susah main padahal jaringan bagus, skill lama dellay nya, jadi susah main dan tim selalu kalah"
Pengguna Google,5,2024-11-20 13:51:18,"Moonton tolong perbaiki sistem timmm terlalu lemah tidak bisa main seperti bot semua,2minggu saya tidak pernah menang,apa apaan ini semua game selalu mvp tetap gapernah menang 2minggu lebih,sistem bodoh"
Pengguna Google,1,2024-11-20 08:53:39,Game ga jelas....kata nya mo ngasi kompensasi buat player yg terkena bug di event top up....tapi udh melebih Jam yg di janji kan malah ga ada yg masuk.....EMNG MONTOD KANG PHP...auto bintang 1
Afiq,1,2024-11-20 08:13:14,"Taiii masa phase nolan cuman 5 tiket sengaja banget ngejebak playernya dasar game kikir emang, giliran takut kalah saing ma hok dibaik baikin playernya, pas udh naik lagi kembali ke stelan pabrik kikir gajelas, kalau dari awal tau cuman dapat 5 tiket pahse kedua ga gw lanjutin taiiii!!!"
Pengguna Google,3,2024-11-20 07:51:40,"Game ny sih lumayan cuman Moonton tolong kurangin orang tolol, jaringan bagus malah di game nya jelek, tolong perbaikilah, jangan tolol tolol bgt jadi dev"
Pengguna Google,1,2024-11-20 07:51:11,"Ngasih musuh susah-susah, terus dapat team yang beban-beban, sama sinyal ya terus hilang-hilang terus, mau lu apa moonton?, kalau lu kaga Perbakin ini lu lama-lama hilang pemain kalau kaga hilangin dark sistem!."
Pengguna Google,5,2024-11-19 22:10:54,"Mohon maaf utk pihak moonton, dipermudah saat naik tier. Sering terjadi ketika udh bintang 5 pasti dapet dark system. Dan bug sinya saat bermain game tolong diperbaiki Terimakasih"
Ripa Putra,5,2024-11-19 14:56:19,Game udah bagus tapi banyak dark sistem cape kalah Mulu nying 😊😊😊 lama lama gua pensi maen ml dan banyak bug tolong segerah di perbaikin
Edo Saputra,2,2024-11-19 13:30:49,"Lo tau dark sistem lo lihat betapa sedih nya player epic hah dark sisitem lo, gua benci player epic kalah terus tau gak gara² dark sistem lo, sadar banyak player epic banyak lose streak terutama gua aku udah kecewa main terus dan gua mau player epic naik ke legend dan jangan kenain player epic dark sistem lagi ingat kau sadar aku sengaja naik kan bintang karna agar kau lebih adil dan ngerasa bangga gua tau kalo lo ngasih gua dark sistem ngaku aja iya gua ngasih lo drak sistem gitu lo ngaku aja"
Pengguna Google,5,2024-11-19 08:02:20,Game nya bagus tapi harus ngeinget playerkecil di akun KENZ (\_/) O .O IN AK PERNAH MENANG MOHON DIPERBAIKI TRIMAKASIH tapi smpai sekarang masih kalah terus Mon peningkatannya di mitik dak pernah menang monton tolong diper baiki
Pengguna Google,5,2024-11-19 07:35:47,Moonton game ini aslinya bagus tapi kok aku di kasih musuh pro player moonton tolong kasih saya musuh yang bot moonton saya dari tadi mau naik ke honor aja susah apalagi memilikinya jadi tolong kasih saya musuh yang bot ya papi moonton
Pengguna Google,5,2024-11-18 09:01:36,moonton tolong lag bug hal hal yang tak di inginka di hapus dan dark system juga semua player di kasih musuk yang seimbang ya dan mode ofline pelatihan ai juga ke buka semua player ya😠
Pengguna Google,1,2024-11-18 07:13:00,Kalo bikin game yang bener lah monton lu ngasih skin juga gak guna kalo bikin game nya susah buat menang kadang Nemu orang2 gak bisa main di mitik kan aneh🤬🤬 untuk yang lain jangan download game ini pokoknya ratingnya kalo bisa gw kasih noll🤬🤬
Ziza Manis,5,2024-11-18 06:32:32,:) terima kasih pihak mlbb telah menemukan bug atau masalah dlm event premium suplay nolan the navigotor mohon untuk pihak mlbb agar mendapatkan premium suplaynya
Pengguna Google,5,2024-11-17 18:09:21,"Kecewa gua sama sistem moonton skrng pertama banyak bug gk jelas, cheat juga masih banyak yg gunain, sistem yg tidak seimbang antara win & lose banyak lose nya, ya gimana lagi udah gak kepake game ML buat gua. Izin pamit moonton gua mau pensi mau coba dulu game sebelah, udah nyerah gua, titik tersulit ngepush rank itu adalah bersama sistem yang tidak pernah adil dalam menyeimbangkan matcmaking dan darksystem bot yang dibuat moonton sendiri. Mudah""an moonton gk denger gua, biar mkin byk yg ke gua"
Pengguna Google,1,2024-11-17 16:26:41,"Game kikir,game banyak bug,udah top up,misi tiket gratisnya ga dapet,kont**²,kalo ngga ada konpensasi yang setara gue uninstal,semoga aja pada pindah game semua 😡👎👎👎👎"
Pengguna Google,1,2024-11-17 14:37:27,"Tolong perusahaan moonton aku player baru tapi knpa selalu kalah yaa menang di awal dari lvl akun 1-8 doang trs kalah Mulu jing tim nya tolol bet beda dari game lain, ada kalah ada menang tapi ini kalah terus sampe wr ku 12,3 wkwkwkwkwkwkwkwkwk tolong tim nya ya seimbangin dong cacat"
Pengguna Google,1,2024-11-17 14:07:48,Game rusak. Massak sinyal bagus ngeleg. Mending perbaiki lagi bug nya. Kadang sinyal warna hijau lagi main malah gak bisa gerak aduh parah kali
